name,kind,cleanliness,dev_macro_f1,dev_fit_macro_f1,final_macro_f1,accuracy_dev,accuracy_final,best_dev_macro_f1,best_epoch,task,model_name,group_mode,input_format,notes,trust_for_selection
ensemble_reply_fixed_final_diag_alpha0p4,ensemble,diagnostic,0.755611312555757,,0.6077131782945736,0.7898550724637681,0.6883116883116883,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p5,ensemble,diagnostic,0.7857812009139605,,0.5999726999727,0.8260869565217391,0.685064935064935,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p6,ensemble,diagnostic,0.7956220783890687,,0.598444507777461,0.8420289855072464,0.685064935064935,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha0p75,ensemble,diagnostic,0.7979709995001318,,0.5927245363773181,0.8463768115942029,0.6785714285714286,,,,,,,,diagnostic_post_final
ensemble_reply_fixed_final_diag_alpha1,ensemble,diagnostic,0.7956453766620547,,0.6019299696719052,0.8478260869565217,0.685064935064935,,,,,,,,diagnostic_post_final
ensemble_reply_tuned_alpha0,ensemble,internal_dev_only,0.7047193520427787,,,0.7260869565217392,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p05,ensemble,internal_dev_only,0.709046970789751,,,0.7333333333333333,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p1,ensemble,internal_dev_only,0.7155050866928696,,,0.7405797101449275,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p2,ensemble,internal_dev_only,0.7276329354586807,,,0.7463768115942029,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p3,ensemble,internal_dev_only,0.7500438999882827,,,0.7724637681159421,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p35,ensemble,internal_dev_only,0.7585359732871709,,,0.782608695652174,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p4,ensemble,internal_dev_only,0.765535390199637,,,0.7913043478260869,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p5,ensemble,internal_dev_only,0.7951272039227257,,,0.836231884057971,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p6,ensemble,internal_dev_only,0.80093477241227,,,0.8463768115942029,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha0p75,ensemble,internal_dev_only,0.809019970852287,,,0.8579710144927536,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_alpha1,ensemble,internal_dev_only,0.8118527445785099,,,0.855072463768116,,,,,,,,,clean_internal_dev
ensemble_reply_tuned_final_diag_alpha1,ensemble,diagnostic,0.8118527445785099,,0.6095163590433118,0.855072463768116,0.6785714285714286,,,,,,,,diagnostic_post_final
ensemble_seed13_boundary,ensemble,internal_dev_only,0.6778598105909031,,,0.7057971014492753,,,,,,,,,clean_internal_dev
ensemble_seed13_seed17_boundary,ensemble,internal_dev_only,0.7000494590164603,,,0.7347826086956522,,,,,,,,,clean_internal_dev
ensemble_seed13_seed17fixed_boundary,ensemble,internal_dev_only,0.6820641813445816,,,0.717391304347826,,,,,,,,,clean_internal_dev
ensemble_with_reply_boundary_alpha0.35,ensemble,internal_dev_only,0.7478336706401708,,,0.7797101449275362,,,,,,,,,clean_internal_dev
experiment_scoreboard,other,internal_dev_only,,,,,,,,,,,,,unknown
fast_feature_ensemble_cv5,ensemble,internal_dev_only,,,0.5259157009343995,,0.5974025974025974,,,,,,pair,,clean_internal_dev
fast_feature_ensemble_smoke,smoke,smoke,,,,,,,,,,,pair,,smoke_sampled
feature_ensemble_smoke,smoke,smoke,,,,,,,,,,,,,smoke_sampled
label_ambiguity_analysis,analysis,internal_dev_only,,,,,,,,,,,,,unknown
prediction_set_comparison_dev_diag,analysis,diagnostic,,,,,,,,,,,,,diagnostic_post_final
prediction_set_comparison_final_diag,analysis,diagnostic,,,,,,,,,,,,,diagnostic_post_final
reply_boundary_deberta_seed13_answer_split_robust,model,internal_dev_only,0.6935370264877804,,,0.713128038897893,,0.7181361352215624,5.0,reply_boundary,microsoft/deberta-v3-base,answer_text,pair,,clean_internal_dev
run_logs,other,internal_dev_only,,,,,,,,,,,,,unknown
sample_weights,other,internal_dev_only,,,,,,,,,,,,,unknown
smoke_boundary_tiny,smoke,smoke,0.45454545454545453,,,0.8333333333333334,,0.45454545454545453,1.0,boundary,hf-internal-testing/tiny-random-DebertaV2ForSequenceClassification,,pair,,smoke_sampled
smoke_chunked_seed13_dev8,smoke,smoke,0.8055555555555555,,,0.75,,,,,,,,,smoke_sampled
